what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1365753502486
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1365753502486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365753505280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365753513627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365753530375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365753592644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1365753592674
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1365753592674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365753615170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365753639181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365753640867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365753643270
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365753643613
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1365753645085
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1365753645091
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1365753645149
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1365753645210
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1365753645258
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1365753645351
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1365753645398
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1365753645398
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1365753645429
